Date,SP500,AAPL,GOOG,IBM,JNJ,K,KO,MSFT,NFLX
2019-05-10,0.00372,-0.013853,0.001626,-0.000148,0.002322,0.014693,0.016798,0.012956,-0.004714
2019-05-13,-0.024131,-0.058119,-0.027691,-0.028821,-0.013323,-0.014653,-0.002928,-0.029686,-0.043707
2019-05-14,0.008016,0.01583,-0.010238,0.014381,-0.002789,-0.010497,0.013213,0.011147,0.001014
2019-05-15,0.005839,0.011979,0.039065,0.008176,0.000662,0.003359,0.010143,0.014082,0.02714
2019-05-16,0.008895,-0.0044,0.012687,0.011012,0.009487,0.000529,0.008197,0.023092,0.012169
2019-05-17,-0.005837,-0.005682,-0.014148,-0.011481,0.002914,-0.006516,-0.007724,-0.00667,-0.013526
2019-05-20,-0.006749,-0.03127,-0.020176,0.005956,-0.00138,-0.010282,-0.007169,-0.014445,-0.017887
2019-05-21,0.008496,0.019171,0.009466,0.009843,-0.002182,0.001791,-0.005158,0.005387,0.017696
2019-05-22,-0.002824,-0.020472,0.001557,-0.000733,0.004665,0.005185,0.021775,0.006068,0.015412
2019-05-23,-0.011914,-0.01707,-0.009249,-0.029043,0.007401,0.004625,0.003856,-0.011671,-0.020905
2019-05-24,0.001354,-0.003841,-0.006399,-0.000831,7.2e-05,-0.009384,-0.00465,0.000476,0.006189
2019-05-28,-0.008376,-0.004135,0.0006,-0.013759,-0.01282,-0.035389,-0.01036,-0.000634,0.001891
2019-05-29,-0.006912,-0.004769,-0.015598,-0.005902,-0.041876,-0.03224,-0.010057,-0.00967,-0.016532
2019-05-30,0.002098,0.005187,0.001335,-0.000925,0.005939,-0.013402,0.01327,0.006323,0.007618
2019-05-31,-0.013195,-0.018116,-0.012809,-0.019912,-0.007267,0.019988,-0.002455,-0.016305,-0.024357
2019-06-03,-0.002765,-0.01011,-0.061071,0.01008,0.002211,0.023592,0.017231,-0.031048,-0.019372
2019-06-04,0.021432,0.036584,0.016232,0.034459,0.017422,0.01487,0.000403,0.027704,0.049817
2019-06-05,0.008162,0.016143,-0.010284,-0.009044,0.004861,0.007509,0.015723,0.021679,0.006593
2019-06-06,0.006136,0.014682,0.002034,0.005552,0.017116,0.013816,0.012106,0.015815,0.003936
2019-06-07,0.010498,0.026617,0.020779,0.008244,0.013682,0.003945,0.001765,0.028008,0.010472
2019-06-10,0.00466,0.012779,0.013452,0.010727,0.003392,-0.02179,-0.002153,0.009132,-0.024552
2019-06-11,-0.00035,0.01158,-0.001536,0.00898,0.005467,0.01625,-0.000981,-0.003771,-0.002102
2019-06-12,-0.002038,-0.003183,-0.001567,-0.007944,0.013593,0.010061,0.006087,-0.004618,-0.016255
2019-06-13,0.004097,-0.000206,0.0109,0.006599,-0.006846,0.006937,-0.002147,0.006312,-0.006164
2019-06-14,-0.001612,-0.007262,-0.003141,-0.004493,-0.004406,0.000353,0.00352,0.000982,-0.010774
2019-06-17,0.000932,0.005967,0.006588,-0.00148,-0.00464,-0.001413,-0.008575,0.00302,0.032055
